# Road km between consecutive places, from the Hume leg distances; rest areas are
# placed along each leg in proportion to their projected position.
from_id,to_id,distance_km
0,1,57.000
1,2,13.624
2,3,46.376
3,4,28.761
4,5,1.098
5,6,25.408
6,7,23.671
7,8,4.062
8,9,6.357
9,10,2.396
10,11,11.144
11,12,14.754
12,13,7.675
13,14,22.384
14,15,9.370
15,16,11.920
16,17,4.719
17,18,8.056
18,19,4.651
19,20,19.075
20,21,10.087
21,22,31.851
22,23,7.034
23,24,6.536
24,25,4.365
25,26,2.626
26,27,7.240
27,28,5.715
28,29,17.087
29,30,26.756
30,31,20.809
31,32,8.479
32,33,3.733
33,34,25.181
34,35,62.000
35,36,28.706
36,37,24.070
37,38,13.671
38,39,7.553
39,40,8.337
40,41,18.218
41,42,20.034
42,43,29.371
43,44,11.040
44,45,7.319
45,46,22.867
46,47,11.874
47,48,51.688
48,49,12.252
49,50,12.746
50,51,49.254
