# Hume rows of the National Freight Data Hub's National Formal Rest Areas file,
# with this study's decision on each. Derived subset; see PROVENANCE.md.
source_id,name,state,road_name,locality,direction_of_travel,site_type,heavy_vehicle_area,latitude,longitude,included,reason_excluded,assumed_bays,bays_basis
5555,Grass Tree,VIC,HUME FREEWAY,MANGALORE,NORTHBOUND,CARS AND TRUCKS,Y,-36.962688,145.180893,N,serves the other direction (NORTHBOUND),0,
5556,Avenel Service Centre,VIC,HUME FREEWAY,AVENEL,NORTHBOUND,SERVICE CENTRE,N,-36.907597,145.239838,N,type is silent about trucks and the heavy-vehicle flag is N,0,
5557,TRUCK PARKING BAY near Euroa,VIC,HUME FREEWAY,EUROA,NORTHBOUND,TRUCK PARKING BAY,Y,-36.770611,145.526428,N,serves the other direction (NORTHBOUND),0,
5558,Balmattum Rest Area,VIC,HUME FREEWAY,BALMATTUM,NORTHBOUND,CARS AND TRUCKS,Y,-36.713776,145.634628,N,serves the other direction (NORTHBOUND),0,
5559,CARS AND TRUCKS near Violet Town,VIC,HUME FREEWAY,VIOLET TOWN,NORTHBOUND,CARS AND TRUCKS,Y,-36.619255,145.773529,N,serves the other direction (NORTHBOUND),0,
5591,CARS AND TRUCKS near Benalla,VIC,HUME HIGHWAY,BENALLA,NORTHBOUND,CARS AND TRUCKS,Y,-36.575439,145.930069,N,serves the other direction (NORTHBOUND),0,
5592,Mokoan Rest Area,VIC,HUME HIGHWAY,WINTON,NORTHBOUND,CARS AND TRUCKS,Y,-36.498077,146.107086,N,serves the other direction (NORTHBOUND),0,
5593,Glenrowan Rest Area,VIC,HUME HIGHWAY,GLENROWAN,NORTHBOUND,CARS AND TRUCKS,Y,-36.448067,146.241821,N,serves the other direction (NORTHBOUND),0,
5594,Glenrowan Service Centre,VIC,HUME HIGHWAY,WANGARATTA SOUTH,NORTHBOUND,SERVICE CENTRE,N,-36.438545,146.248657,N,type is silent about trucks and the heavy-vehicle flag is N,0,
5595,CARS AND TRUCKS near North Wangaratta,VIC,HUME HIGHWAY,NORTH WANGARATTA,NORTHBOUND,CARS AND TRUCKS,Y,-36.334286,146.375717,N,serves the other direction (NORTHBOUND),0,
5596,CARS AND TRUCKS near Springhurst,VIC,HUME HIGHWAY,SPRINGHURST,NORTHBOUND,CARS AND TRUCKS,Y,-36.220146,146.445007,N,serves the other direction (NORTHBOUND),0,
5597,Iron Bark Rest Area,VIC,HUME HIGHWAY,CHILTERN,NORTHBOUND,CARS AND TRUCKS,Y,-36.146519,146.638367,N,serves the other direction (NORTHBOUND),0,
5636,CARS AND TRUCKS near Chiltern,VIC,HUME HIGHWAY,CHILTERN,SOUTHBOUND,CARS AND TRUCKS,Y,-36.137917,146.647675,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5637,CARS AND TRUCKS near Springhurst,VIC,HUME HIGHWAY,SPRINGHURST,SOUTHBOUND,CARS AND TRUCKS,Y,-36.221909,146.446045,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5638,CARS AND TRUCKS near North Wangaratta,VIC,HUME HIGHWAY,NORTH WANGARATTA,SOUTHBOUND,CARS AND TRUCKS,Y,-36.334221,146.377090,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5639,CARS AND TRUCKS near Wangaratta South,VIC,HUME HIGHWAY,WANGARATTA SOUTH,SOUTHBOUND,CARS AND TRUCKS,Y,-36.424030,146.263306,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5640,SERVICE CENTRE near Wangaratta South,VIC,HUME HIGHWAY,WANGARATTA SOUTH,SOUTHBOUND,SERVICE CENTRE,N,-36.440285,146.249390,N,type is silent about trucks and the heavy-vehicle flag is N,0,
5641,CARS AND TRUCKS near Winton,VIC,HUME HIGHWAY,WINTON,SOUTHBOUND,CARS AND TRUCKS,Y,-36.501286,146.103760,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5675,CARS AND TRUCKS near Benalla,VIC,HUME FREEWAY,BENALLA,SOUTHBOUND,CARS AND TRUCKS,Y,-36.577450,145.921356,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5676,Balmattum Rest Area,VIC,HUME FREEWAY,BALMATTUM,SOUTHBOUND,CARS AND TRUCKS,Y,-36.695919,145.659332,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
5677,Euroa Service Centre,VIC,HUME FREEWAY,EUROA,SOUTHBOUND,SERVICE CENTRE,N,-36.743992,145.590927,N,type is silent about trucks and the heavy-vehicle flag is N,0,
5678,CARS AND TRUCKS near Creightons Creek,VIC,HUME FREEWAY,CREIGHTONS CREEK,SOUTHBOUND,CARS AND TRUCKS,Y,-36.781227,145.501343,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
