# Journey missions (origin != destination, required_kwh == 0). Seeded, reproducible.
id,origin_id,destination_id,battery_kwh,soc_kwh,efficiency_kwh_per_100km,required_kwh,release_hour
200,0,9,86.2,64.9,18.0,0.0,7.79
201,11,2,85.9,77.7,18.0,0.0,8.30
202,0,11,95.4,72.6,18.0,0.0,9.05
203,0,4,66.6,61.5,18.0,0.0,13.00
204,0,5,66.1,54.9,18.0,0.0,9.93
205,0,4,66.9,60.6,18.0,0.0,6.42
206,0,9,90.8,71.8,18.0,0.0,2.54
207,11,2,96.6,68.9,18.0,0.0,10.75
208,0,11,81.8,68.3,18.0,0.0,8.42
209,0,11,64.0,58.4,18.0,0.0,15.95
210,0,9,86.5,70.3,18.0,0.0,6.18
211,0,10,94.2,74.2,18.0,0.0,12.94
212,0,11,65.3,63.2,18.0,0.0,4.87
213,11,2,91.4,59.8,18.0,0.0,15.41
214,0,7,81.0,68.6,18.0,0.0,8.93
215,0,10,75.7,64.1,18.0,0.0,9.07
216,0,9,87.1,68.3,18.0,0.0,14.34
217,0,8,75.3,57.3,18.0,0.0,14.50
218,0,2,84.2,65.4,18.0,0.0,14.42
219,0,5,69.4,68.7,18.0,0.0,12.86
220,0,2,76.0,68.6,18.0,0.0,11.15
221,0,2,78.3,58.0,18.0,0.0,5.31
222,0,7,70.0,65.4,18.0,0.0,14.97
223,0,5,96.4,65.4,18.0,0.0,9.00
224,0,4,68.4,67.1,18.0,0.0,7.04
225,11,9,75.2,58.7,18.0,0.0,8.88
226,0,4,82.1,58.6,18.0,0.0,8.03
227,0,8,93.1,64.7,18.0,0.0,6.93
228,0,9,88.9,68.6,18.0,0.0,9.93
229,0,2,73.1,67.4,18.0,0.0,8.45
230,0,5,73.2,62.7,18.0,0.0,13.39
231,0,8,88.7,55.1,18.0,0.0,15.48
232,0,1,84.6,59.4,18.0,0.0,13.12
233,11,5,86.9,65.4,18.0,0.0,16.00
234,11,6,88.3,82.4,18.0,0.0,5.61
235,0,5,82.9,68.4,18.0,0.0,8.58
236,0,2,91.5,91.0,18.0,0.0,15.25
237,0,4,78.5,66.9,18.0,0.0,14.72
238,0,4,88.0,54.7,18.0,0.0,5.12
239,0,9,85.6,80.9,18.0,0.0,10.17
240,0,9,86.6,56.5,18.0,0.0,0.78
241,0,7,68.5,67.9,18.0,0.0,9.88
242,0,10,74.2,54.6,18.0,0.0,5.47
243,11,0,78.1,61.1,18.0,0.0,3.86
244,0,7,82.3,58.9,18.0,0.0,7.62
245,0,6,72.3,55.6,18.0,0.0,6.39
246,11,3,65.9,55.4,18.0,0.0,7.17
247,0,7,64.6,58.8,18.0,0.0,10.14
248,0,8,89.8,80.0,18.0,0.0,12.23
249,0,6,92.3,70.0,18.0,0.0,16.00
250,11,10,69.7,62.2,18.0,0.0,14.08
251,0,10,74.7,63.6,18.0,0.0,11.73
252,0,5,74.2,58.6,18.0,0.0,7.34
253,11,4,92.8,66.0,18.0,0.0,13.57
254,0,7,77.9,75.2,18.0,0.0,8.21
255,0,11,67.4,57.9,18.0,0.0,9.76
256,0,4,91.3,75.7,18.0,0.0,6.99
257,0,6,65.2,65.1,18.0,0.0,0.25
258,11,0,88.0,81.5,18.0,0.0,15.56
259,0,3,88.6,73.2,18.0,0.0,8.43
260,11,7,93.7,55.0,18.0,0.0,15.26
261,0,7,67.9,64.4,18.0,0.0,14.75
262,0,7,64.0,60.6,18.0,0.0,6.89
263,11,1,86.5,72.8,18.0,0.0,10.09
264,0,2,86.7,74.7,18.0,0.0,5.89
265,0,7,64.1,57.6,18.0,0.0,15.75
266,0,9,97.0,90.3,18.0,0.0,12.07
267,0,7,95.4,81.6,18.0,0.0,10.98
268,0,10,80.1,76.7,18.0,0.0,15.94
269,0,6,78.6,56.3,18.0,0.0,8.16
270,0,11,75.4,69.6,18.0,0.0,6.71
271,11,4,85.7,59.1,18.0,0.0,15.21
272,11,3,93.6,70.0,18.0,0.0,16.00
273,0,9,93.0,56.3,18.0,0.0,13.91
274,0,7,92.2,87.2,18.0,0.0,10.18
275,11,6,78.9,78.3,18.0,0.0,8.15
276,0,2,94.5,62.4,18.0,0.0,7.75
277,11,1,82.0,72.5,18.0,0.0,7.85
278,0,9,92.7,64.7,18.0,0.0,4.81
279,0,4,98.9,83.3,18.0,0.0,11.53
280,0,3,67.4,55.6,18.0,0.0,1.75
281,11,6,76.3,74.7,18.0,0.0,12.83
282,0,9,68.1,55.8,18.0,0.0,14.17
283,0,11,71.5,59.7,18.0,0.0,6.47
284,0,8,70.3,59.0,18.0,0.0,7.66
285,0,7,95.9,67.1,18.0,0.0,8.50
286,11,2,66.2,55.8,18.0,0.0,6.69
287,0,6,67.5,57.1,18.0,0.0,11.31
288,0,8,74.7,56.9,18.0,0.0,11.06
289,0,1,80.0,62.7,18.0,0.0,10.63
290,11,5,95.7,84.7,18.0,0.0,8.32
291,11,2,63.2,58.5,18.0,0.0,16.00
292,0,2,84.9,81.9,18.0,0.0,5.52
293,0,8,76.9,67.9,18.0,0.0,5.90
294,0,7,75.0,64.0,18.0,0.0,7.20
295,0,9,94.3,72.7,18.0,0.0,0.43
296,0,2,87.2,74.9,18.0,0.0,6.49
297,0,6,85.4,82.5,18.0,0.0,6.37
298,0,6,76.1,67.8,18.0,0.0,15.67
299,0,5,87.3,65.4,18.0,0.0,7.24
300,0,8,86.0,59.4,18.0,0.0,6.25
301,11,1,77.7,68.6,18.0,0.0,4.77
302,11,0,79.6,61.0,18.0,0.0,15.42
303,0,3,84.5,81.0,18.0,0.0,7.27
304,0,8,67.1,64.7,18.0,0.0,12.66
305,11,3,81.8,78.0,18.0,0.0,10.18
306,0,9,88.6,69.3,18.0,0.0,0.26
307,11,0,86.3,76.3,18.0,0.0,14.71
308,11,1,81.6,63.8,18.0,0.0,12.19
309,0,11,76.5,72.3,18.0,0.0,5.50
310,0,8,81.7,68.7,18.0,0.0,2.16
311,0,3,86.3,68.7,18.0,0.0,12.65
312,0,11,77.4,73.5,18.0,0.0,14.27
313,11,0,70.6,60.7,18.0,0.0,10.83
314,11,0,97.3,69.9,18.0,0.0,7.00
315,11,2,66.7,57.1,18.0,0.0,6.35
316,0,4,90.3,88.4,18.0,0.0,7.15
317,11,1,75.8,68.3,18.0,0.0,8.25
318,11,8,81.7,61.5,18.0,0.0,7.17
319,0,4,77.7,71.5,18.0,0.0,8.00
320,0,11,98.2,88.3,18.0,0.0,7.41
321,0,11,65.0,55.2,18.0,0.0,12.73
322,11,5,75.9,64.0,18.0,0.0,12.90
323,0,9,63.2,60.2,18.0,0.0,6.41
