# Hume corridor towns. Charger counts from the legacy coursework; prices synthetic.
id,name,has_station,price_per_kwh,chargers,power_kw,latitude,longitude
0,Sydney,1,0.45,10,150.0,-33.8688,151.2093
1,Campbelltown,1,0.48,4,150.0,-34.0650,150.8140
2,Mittagong,1,0.55,3,150.0,-34.4500,150.4500
3,Goulburn,1,0.52,4,150.0,-34.7550,149.7180
4,Yass,1,0.58,2,150.0,-34.8400,148.9100
5,Gundagai,1,0.60,3,150.0,-35.0660,148.1060
6,Holbrook,1,0.62,2,150.0,-35.7250,147.3130
7,Albury,1,0.50,4,150.0,-36.0737,146.9135
8,Wangaratta,1,0.56,3,150.0,-36.3580,146.3120
9,Euroa,1,0.59,3,150.0,-36.7520,145.5700
10,Wallan,1,0.54,2,150.0,-37.4160,144.9800
11,Melbourne,1,0.44,8,150.0,-37.8136,144.9631
