# Synthetic journeys over the real network. Seeded, reproducible.
id,origin_id,destination_id,battery_kwh,soc_kwh,efficiency_kwh_per_100km,required_kwh,release_hour
5000,198,164,7.3,1.8,18.0,0.0,8.17
5001,37,162,11.1,3.4,18.0,0.0,2.35
5002,145,114,10.0,9.1,18.0,0.0,8.23
5003,123,125,7.7,5.0,18.0,0.0,7.95
5004,19,18,10.5,2.7,18.0,0.0,10.60
5005,14,148,12.0,3.4,18.0,0.0,12.89
5006,115,102,8.4,4.0,18.0,0.0,8.00
5007,127,143,11.9,3.8,18.0,0.0,5.60
5008,204,107,11.4,10.7,18.0,0.0,11.62
5009,119,149,11.4,8.0,18.0,0.0,7.24
5010,106,200,9.6,7.0,18.0,0.0,9.26
5011,167,13,10.3,3.7,18.0,0.0,3.21
5012,221,180,10.3,7.6,18.0,0.0,16.00
5013,97,16,8.1,5.1,18.0,0.0,4.29
5014,201,92,8.1,7.3,18.0,0.0,5.78
5015,192,126,10.2,6.2,18.0,0.0,11.05
5016,178,162,8.3,4.1,18.0,0.0,16.00
5017,62,144,7.7,5.4,18.0,0.0,8.18
5018,135,180,9.6,5.4,18.0,0.0,7.20
5019,150,154,10.2,7.5,18.0,0.0,16.00
5020,96,29,8.9,2.4,18.0,0.0,13.60
5021,14,105,7.8,5.1,18.0,0.0,6.19
5022,169,71,8.8,2.2,18.0,0.0,0.78
5023,127,41,12.9,10.3,18.0,0.0,0.19
5024,114,159,11.4,3.9,18.0,0.0,13.00
5025,197,138,8.8,3.6,18.0,0.0,15.75
5026,73,63,8.2,7.6,18.0,0.0,12.36
5027,168,163,12.2,6.5,18.0,0.0,8.31
5028,155,14,8.3,5.8,18.0,0.0,12.02
5029,184,42,12.6,5.2,18.0,0.0,8.11
5030,45,55,10.1,3.7,18.0,0.0,12.63
5031,184,77,9.7,2.0,18.0,0.0,13.85
5032,140,129,9.7,2.6,18.0,0.0,3.50
5033,72,176,9.9,5.0,18.0,0.0,9.65
5034,182,211,7.3,4.7,18.0,0.0,8.65
5035,15,48,10.6,5.2,18.0,0.0,9.31
5036,216,14,12.3,10.1,18.0,0.0,14.12
5037,88,39,12.1,9.2,18.0,0.0,6.78
5038,90,44,9.7,8.3,18.0,0.0,10.78
5039,198,127,11.8,8.6,18.0,0.0,9.12
5040,202,127,13.3,3.7,18.0,0.0,8.67
5041,21,123,8.5,4.5,18.0,0.0,12.81
5042,63,177,9.8,6.8,18.0,0.0,13.98
5043,81,157,11.0,9.3,18.0,0.0,6.90
5044,141,34,11.1,7.7,18.0,0.0,7.72
5045,141,211,8.4,3.2,18.0,0.0,6.39
5046,175,179,12.3,5.7,18.0,0.0,14.19
5047,79,202,7.3,5.1,18.0,0.0,5.41
5048,107,223,9.0,8.1,18.0,0.0,13.28
5049,9,44,10.2,9.3,18.0,0.0,10.88
5050,44,203,11.0,10.0,18.0,0.0,7.46
5051,100,8,9.4,4.6,18.0,0.0,9.59
5052,170,30,11.4,10.5,18.0,0.0,8.13
5053,11,160,10.0,3.2,18.0,0.0,6.85
5054,119,190,12.3,9.1,18.0,0.0,8.27
5055,154,153,12.2,6.3,18.0,0.0,11.99
5056,206,191,7.9,3.5,18.0,0.0,9.94
5057,0,201,11.3,5.9,18.0,0.0,7.77
5058,124,18,10.3,5.8,18.0,0.0,11.07
5059,57,18,8.9,3.7,18.0,0.0,14.75
5060,92,226,7.3,5.4,18.0,0.0,8.58
5061,226,33,7.4,3.7,18.0,0.0,15.49
5062,77,73,9.3,8.2,18.0,0.0,13.66
5063,92,201,8.0,4.9,18.0,0.0,13.04
5064,86,110,7.5,7.1,18.0,0.0,6.16
5065,213,177,10.8,7.0,18.0,0.0,16.00
5066,183,27,7.8,6.1,18.0,0.0,9.67
5067,105,151,12.4,2.7,18.0,0.0,7.88
5068,71,21,10.4,3.1,18.0,0.0,8.66
5069,187,77,9.7,6.6,18.0,0.0,6.64
5070,188,104,7.7,3.2,18.0,0.0,10.43
5071,148,65,12.4,10.4,18.0,0.0,6.21
5072,168,17,11.1,3.0,18.0,0.0,8.46
5073,187,7,13.3,8.5,18.0,0.0,8.89
5074,189,215,9.3,7.6,18.0,0.0,12.07
5075,170,79,10.9,5.4,18.0,0.0,1.59
5076,78,121,12.8,11.6,18.0,0.0,11.16
5077,150,17,9.8,2.7,18.0,0.0,7.03
5078,174,53,9.8,4.2,18.0,0.0,8.56
5079,42,175,8.2,5.5,18.0,0.0,8.64
5080,143,42,11.0,9.4,18.0,0.0,13.53
5081,141,213,8.6,5.2,18.0,0.0,13.81
5082,133,112,10.8,6.5,18.0,0.0,12.29
5083,129,222,12.1,10.0,18.0,0.0,10.18
5084,112,57,13.2,11.4,18.0,0.0,6.94
5085,46,224,7.4,5.7,18.0,0.0,2.90
5086,39,92,7.4,4.4,18.0,0.0,16.00
5087,79,80,12.3,5.0,18.0,0.0,6.67
5088,142,87,7.5,3.3,18.0,0.0,7.68
5089,19,138,8.5,3.6,18.0,0.0,6.62
5090,217,21,7.8,3.7,18.0,0.0,13.84
5091,223,202,9.8,3.7,18.0,0.0,8.81
5092,95,36,9.4,8.3,18.0,0.0,6.40
5093,83,67,11.4,7.6,18.0,0.0,7.58
5094,59,93,8.5,2.1,18.0,0.0,16.00
5095,122,185,12.8,5.6,18.0,0.0,16.00
5096,215,107,8.3,2.2,18.0,0.0,8.05
5097,106,72,12.5,4.3,18.0,0.0,15.22
5098,79,89,9.2,4.1,18.0,0.0,6.75
5099,122,56,10.2,5.9,18.0,0.0,16.00
5100,147,71,12.7,10.5,18.0,0.0,16.00
5101,78,188,7.7,3.9,18.0,0.0,1.27
5102,1,87,10.2,9.0,18.0,0.0,7.23
5103,217,155,10.5,6.4,18.0,0.0,14.51
5104,185,26,8.3,4.1,18.0,0.0,13.43
5105,110,94,12.5,3.8,18.0,0.0,5.80
5106,103,13,13.3,6.3,18.0,0.0,8.81
5107,97,36,13.1,10.8,18.0,0.0,6.49
5108,143,31,7.9,5.8,18.0,0.0,6.70
5109,46,91,8.7,4.1,18.0,0.0,11.52
5110,92,209,11.0,6.3,18.0,0.0,8.80
5111,1,154,8.9,7.9,18.0,0.0,12.14
5112,106,43,7.4,2.5,18.0,0.0,7.33
5113,104,41,11.0,9.0,18.0,0.0,1.77
5114,21,131,9.4,7.3,18.0,0.0,5.92
5115,214,162,13.1,8.5,18.0,0.0,0.74
5116,38,105,11.6,10.9,18.0,0.0,11.76
5117,189,181,10.2,5.4,18.0,0.0,9.87
5118,199,5,8.4,5.3,18.0,0.0,2.45
5119,149,141,12.4,2.6,18.0,0.0,14.88
5120,176,87,12.3,2.5,18.0,0.0,7.97
5121,131,132,10.9,6.8,18.0,0.0,12.11
5122,223,23,10.7,5.1,18.0,0.0,8.46
5123,171,110,8.0,2.4,18.0,0.0,13.31
5124,207,113,12.6,3.8,18.0,0.0,14.26
5125,116,95,11.6,3.8,18.0,0.0,6.00
5126,7,146,11.2,5.4,18.0,0.0,9.51
5127,37,225,12.5,3.8,18.0,0.0,5.87
5128,219,8,8.1,5.7,18.0,0.0,6.71
5129,26,126,8.6,7.8,18.0,0.0,10.90
5130,208,181,12.1,10.1,18.0,0.0,6.88
5131,81,122,8.0,3.7,18.0,0.0,14.77
5132,75,132,13.3,3.7,18.0,0.0,13.85
5133,208,129,8.9,5.4,18.0,0.0,5.44
5134,20,5,8.6,7.9,18.0,0.0,15.02
5135,208,131,11.5,8.1,18.0,0.0,8.84
5136,125,28,12.2,6.1,18.0,0.0,12.73
5137,91,168,10.0,9.1,18.0,0.0,12.90
5138,93,133,12.2,8.0,18.0,0.0,9.88
5139,102,16,7.5,3.4,18.0,0.0,8.35
5140,175,15,11.8,4.5,18.0,0.0,5.48
5141,149,106,13.0,7.0,18.0,0.0,4.88
5142,215,119,7.5,3.8,18.0,0.0,15.94
5143,176,7,7.9,5.4,18.0,0.0,16.00
5144,172,35,7.7,2.8,18.0,0.0,16.00
5145,84,90,7.7,6.6,18.0,0.0,12.67
5146,82,172,10.2,7.8,18.0,0.0,8.81
5147,204,140,13.1,7.5,18.0,0.0,6.92
5148,133,158,9.5,3.4,18.0,0.0,2.75
5149,194,178,9.9,9.0,18.0,0.0,5.85
5150,109,123,11.8,7.9,18.0,0.0,14.27
5151,46,64,11.6,5.5,18.0,0.0,12.20
5152,161,145,10.3,7.9,18.0,0.0,5.93
5153,134,67,12.0,3.7,18.0,0.0,13.95
5154,81,171,11.5,3.7,18.0,0.0,13.92
5155,8,1,11.8,3.6,18.0,0.0,9.19
5156,4,185,8.6,6.7,18.0,0.0,6.69
5157,28,57,11.6,9.2,18.0,0.0,7.07
5158,209,109,13.1,5.5,18.0,0.0,15.02
5159,73,163,8.4,7.6,18.0,0.0,9.96
5160,0,202,11.4,10.1,18.0,0.0,11.28
5161,89,39,8.3,6.1,18.0,0.0,12.92
5162,17,1,10.3,5.8,18.0,0.0,6.86
5163,215,32,11.4,10.2,18.0,0.0,13.84
5164,90,4,9.5,7.3,18.0,0.0,5.83
5165,126,111,9.3,7.4,18.0,0.0,6.83
5166,124,6,7.5,4.4,18.0,0.0,15.96
5167,171,141,11.1,6.7,18.0,0.0,14.76
5168,112,215,9.2,5.6,18.0,0.0,6.62
5169,163,126,9.3,7.9,18.0,0.0,8.47
5170,79,26,10.9,4.9,18.0,0.0,0.32
5171,171,3,12.4,7.0,18.0,0.0,3.25
5172,57,47,13.3,10.0,18.0,0.0,7.60
5173,77,0,11.5,6.1,18.0,0.0,16.00
5174,77,135,10.9,8.3,18.0,0.0,5.22
5175,164,201,11.3,8.4,18.0,0.0,5.74
5176,61,196,11.4,3.2,18.0,0.0,9.71
5177,219,186,7.9,2.6,18.0,0.0,6.40
5178,120,12,11.2,6.7,18.0,0.0,15.53
5179,64,203,12.7,9.7,18.0,0.0,7.63
5180,208,5,11.3,3.9,18.0,0.0,7.02
5181,225,30,9.2,4.6,18.0,0.0,8.10
5182,180,170,9.5,6.8,18.0,0.0,10.92
5183,115,108,9.1,8.4,18.0,0.0,16.00
5184,133,80,9.6,8.4,18.0,0.0,14.54
5185,117,168,13.0,7.0,18.0,0.0,7.32
5186,83,199,10.7,2.2,18.0,0.0,15.77
5187,80,178,12.0,8.4,18.0,0.0,6.57
5188,159,98,8.6,3.3,18.0,0.0,9.25
5189,50,51,12.0,6.6,18.0,0.0,8.71
5190,144,94,11.5,6.5,18.0,0.0,8.23
5191,2,35,13.0,11.9,18.0,0.0,12.69
5192,140,171,8.6,6.2,18.0,0.0,14.68
5193,60,58,7.2,2.8,18.0,0.0,8.31
5194,43,24,12.6,6.6,18.0,0.0,4.92
5195,5,52,12.6,10.3,18.0,0.0,0.83
5196,100,86,12.8,3.8,18.0,0.0,7.00
5197,224,153,10.9,9.7,18.0,0.0,9.46
5198,137,197,13.0,5.6,18.0,0.0,12.91
5199,47,211,12.9,9.4,18.0,0.0,4.15
5200,211,152,9.3,6.6,18.0,0.0,15.57
5201,65,158,11.7,4.9,18.0,0.0,13.88
5202,118,148,11.9,11.2,18.0,0.0,1.35
5203,55,122,7.9,6.5,18.0,0.0,5.74
5204,49,57,9.3,1.9,18.0,0.0,9.54
5205,72,10,8.5,6.5,18.0,0.0,6.94
5206,61,182,10.4,6.9,18.0,0.0,11.98
5207,161,85,10.9,3.0,18.0,0.0,7.00
5208,64,191,9.7,2.3,18.0,0.0,11.61
5209,105,88,8.4,5.7,18.0,0.0,8.64
5210,82,200,7.5,3.9,18.0,0.0,15.92
5211,93,5,11.9,10.5,18.0,0.0,13.78
5212,45,116,13.2,4.6,18.0,0.0,11.90
5213,198,78,10.3,6.7,18.0,0.0,8.06
5214,88,15,9.4,5.7,18.0,0.0,10.92
5215,40,163,7.4,5.4,18.0,0.0,7.89
5216,23,223,9.5,7.5,18.0,0.0,9.17
5217,180,54,13.2,7.4,18.0,0.0,10.73
5218,147,39,12.8,9.8,18.0,0.0,15.44
5219,151,29,10.2,6.1,18.0,0.0,11.53
5220,210,83,12.7,10.5,18.0,0.0,7.78
5221,148,35,13.2,10.9,18.0,0.0,6.56
5222,114,204,8.3,4.0,18.0,0.0,13.74
5223,86,139,10.6,3.9,18.0,0.0,11.35
5224,80,73,9.3,2.4,18.0,0.0,7.07
5225,193,30,13.3,3.4,18.0,0.0,15.75
5226,152,172,12.6,7.1,18.0,0.0,12.41
5227,221,119,10.6,8.6,18.0,0.0,1.60
5228,46,35,8.2,3.9,18.0,0.0,8.17
5229,62,45,12.9,4.5,18.0,0.0,16.00
5230,62,215,10.5,3.0,18.0,0.0,16.00
5231,118,108,13.0,10.4,18.0,0.0,14.37
5232,21,205,10.7,9.0,18.0,0.0,6.36
5233,71,142,8.3,2.0,18.0,0.0,6.42
5234,125,82,8.2,3.7,18.0,0.0,6.37
5235,192,222,11.2,8.1,18.0,0.0,7.27
5236,136,90,9.9,9.3,18.0,0.0,5.86
5237,137,148,8.7,6.5,18.0,0.0,7.51
5238,106,3,9.6,4.9,18.0,0.0,14.96
5239,196,182,8.6,4.9,18.0,0.0,3.66
5240,52,136,8.5,4.1,18.0,0.0,6.60
5241,183,99,13.1,4.9,18.0,0.0,7.53
5242,13,88,8.1,2.7,18.0,0.0,13.63
5243,165,79,12.1,9.9,18.0,0.0,8.09
5244,69,58,12.1,9.6,18.0,0.0,13.46
5245,38,165,13.1,11.4,18.0,0.0,6.83
5246,211,40,10.6,5.5,18.0,0.0,8.11
5247,137,74,10.5,9.3,18.0,0.0,13.71
5248,97,174,7.2,4.1,18.0,0.0,12.84
5249,202,153,7.9,3.8,18.0,0.0,7.89
5250,199,44,11.8,6.7,18.0,0.0,7.08
5251,164,111,10.2,8.9,18.0,0.0,5.19
5252,12,49,12.6,6.1,18.0,0.0,7.84
5253,154,4,12.8,2.6,18.0,0.0,15.68
5254,189,7,7.6,3.4,18.0,0.0,12.85
5255,189,16,11.5,4.5,18.0,0.0,8.73
5256,121,99,10.0,6.4,18.0,0.0,9.78
5257,132,41,10.5,9.2,18.0,0.0,6.67
5258,185,205,10.3,4.2,18.0,0.0,4.20
5259,61,103,12.4,7.0,18.0,0.0,7.29
5260,2,138,13.1,8.7,18.0,0.0,14.27
5261,123,58,9.9,5.0,18.0,0.0,12.82
5262,106,16,10.5,5.2,18.0,0.0,4.79
5263,114,224,9.6,7.3,18.0,0.0,16.00
5264,81,21,12.9,7.3,18.0,0.0,3.85
5265,39,62,10.1,4.2,18.0,0.0,10.25
5266,172,36,13.0,10.4,18.0,0.0,6.60
5267,72,36,10.9,4.4,18.0,0.0,14.18
5268,116,49,8.0,7.1,18.0,0.0,8.28
5269,98,185,10.3,3.7,18.0,0.0,7.91
5270,99,94,12.6,9.8,18.0,0.0,6.99
5271,147,162,8.5,7.4,18.0,0.0,6.03
5272,129,81,8.2,2.4,18.0,0.0,4.19
5273,47,72,13.0,11.1,18.0,0.0,7.73
5274,179,42,10.8,8.7,18.0,0.0,6.67
5275,81,138,9.6,6.3,18.0,0.0,4.72
5276,22,195,9.9,7.0,18.0,0.0,13.80
5277,4,5,12.4,10.6,18.0,0.0,8.39
5278,109,72,11.3,4.0,18.0,0.0,14.72
