# Road distances in km from great-circle distance x 1.35, nearest-4 per station.
from_id,to_id,distance_km
0,1,2.64
0,5,2.32
0,46,2.96
0,74,1.26
1,5,3.75
1,18,0.87
1,73,1.39
1,74,1.39
2,82,1.35
2,84,2.49
2,156,2.72
2,163,2.53
3,19,3.09
3,49,3.13
3,52,3.27
3,55,2.40
3,119,1.59
4,176,2.20
4,186,1.75
4,189,0.50
4,190,0.51
5,74,2.69
5,215,2.70
6,10,2.69
6,21,2.12
6,180,1.75
6,183,2.17
7,15,0.24
7,21,1.42
7,46,1.69
7,173,1.15
8,29,2.31
8,99,5.36
8,178,4.22
8,201,2.77
9,58,6.19
9,60,1.47
9,89,8.09
9,153,5.81
9,188,2.34
9,233,9.31
10,20,2.12
10,179,1.49
10,182,2.05
10,183,1.97
11,27,3.04
11,116,2.99
11,120,3.11
11,193,2.48
12,34,0.76
12,109,3.65
12,151,5.95
12,209,5.68
13,90,0.38
13,102,3.02
13,149,4.83
13,150,1.65
14,69,4.86
14,147,1.40
14,172,0.88
14,197,3.83
14,218,4.38
15,21,1.38
15,46,1.79
15,173,1.39
15,206,2.61
16,39,0.08
16,71,5.67
16,96,1.24
16,113,12.06
16,143,4.11
17,94,7.76
17,122,6.38
17,137,7.25
17,177,7.81
17,204,7.75
18,73,1.00
18,74,2.24
18,192,3.01
19,119,2.34
19,174,3.13
19,205,3.45
19,210,5.13
20,85,2.52
20,87,2.84
20,179,0.84
20,182,0.08
20,229,15.25
21,173,1.93
21,180,1.93
22,41,0.08
22,84,1.21
22,156,2.37
22,208,0.80
22,223,2.35
23,97,6.12
23,111,4.15
23,159,4.63
23,187,4.42
23,203,4.38
23,236,10.87
24,59,0.07
24,61,0.20
24,112,0.40
24,126,0.31
24,166,1.72
24,186,1.35
25,30,6.44
25,107,7.61
25,157,3.52
25,158,1.36
25,232,10.99
26,65,4.96
26,70,1.85
26,138,0.23
26,160,4.90
27,83,2.76
27,116,2.72
27,193,2.52
28,38,1.71
28,42,2.03
28,98,3.13
28,198,1.87
28,205,2.28
29,68,3.94
29,152,5.02
29,178,5.02
29,195,4.42
29,201,0.45
30,44,5.57
30,88,5.50
30,107,1.27
30,114,3.93
30,137,4.14
30,157,6.54
30,158,6.32
30,204,8.73
31,63,7.91
31,101,6.09
31,140,10.10
31,167,6.40
31,194,6.60
31,207,5.76
32,54,8.78
32,91,3.99
32,124,3.05
32,176,5.45
32,189,6.20
33,36,3.81
33,45,3.42
33,75,2.20
33,139,0.21
33,222,3.11
34,86,6.06
34,109,3.93
34,151,6.71
34,209,4.99
34,231,18.30
35,54,2.58
35,91,9.62
35,96,8.81
35,124,7.99
35,125,13.81
36,45,3.06
36,69,4.28
36,75,2.90
36,145,3.22
37,48,2.93
37,51,2.39
37,57,2.26
37,63,3.67
37,70,6.70
38,98,2.08
38,196,1.88
38,221,1.74
38,226,1.91
39,71,5.68
39,96,1.32
39,113,12.04
39,143,4.14
40,81,8.76
40,86,4.74
40,100,6.52
40,110,4.63
40,209,2.90
40,231,16.67
41,84,1.24
41,156,2.36
41,208,0.88
41,223,2.34
42,43,0.86
42,78,0.99
42,174,2.15
42,198,0.16
42,202,2.22
42,205,3.00
43,78,1.59
43,174,1.42
43,175,2.85
43,198,0.91
43,205,2.53
44,107,4.49
44,114,2.19
44,122,7.44
44,137,4.17
45,69,4.47
45,75,1.22
45,91,3.49
45,124,7.31
45,139,3.51
45,145,3.99
46,162,0.93
46,163,1.79
46,173,1.83
47,144,2.76
47,155,2.57
47,176,2.13
47,197,2.06
48,51,3.15
48,56,4.17
48,57,1.27
48,63,4.86
48,160,2.57
49,52,1.10
49,55,0.89
49,58,3.41
49,153,3.31
49,161,5.21
49,164,4.61
50,108,0.97
50,149,4.39
50,200,3.91
50,211,5.31
51,56,3.24
51,57,3.46
51,63,1.72
52,55,1.71
52,58,2.86
52,146,5.99
52,153,3.62
53,80,4.11
53,89,7.95
53,104,3.80
53,149,4.70
53,212,5.98
53,213,7.53
53,214,4.90
54,91,8.11
54,124,5.73
54,125,14.66
54,233,9.06
55,58,4.29
55,119,2.96
56,57,5.24
56,63,3.68
57,160,1.99
58,60,5.62
58,89,8.92
58,153,2.60
59,61,0.23
59,112,0.41
59,126,0.35
59,186,1.28
60,89,6.69
60,153,5.88
60,188,3.57
60,233,9.47
61,112,0.22
61,126,0.12
61,166,1.60
61,186,1.32
62,199,0.76
62,215,1.21
62,216,2.27
62,225,2.18
64,196,2.36
64,202,1.30
64,216,1.18
64,226,2.04
65,95,2.24
65,160,2.38
65,184,2.57
65,210,5.31
65,219,2.03
66,77,2.35
66,106,2.11
66,118,2.18
