# Charging stations from OpenStreetMap, bbox -34.15,150.6,-33.55,151.35. Chargers and power are OSM tags; price is the --price assumption. Generated by tools/fetch_real_network.py.
id,name,has_station,price_per_kwh,chargers,power_kw,latitude,longitude,osm_id,operator,merged_from
0,Tesla Supercharger,1,0.55,8,22.0,-33.88293,151.19463,node/5438383393,Tesla,1
1,Station 2,1,0.55,1,22.0,-33.86829,151.20636,node/5865178390,,1
2,Tesla Destination Charger,1,0.55,1,22.0,-33.92851,151.18612,node/6305536144,,1
3,NRMA,1,0.55,2,50.0,-33.84602,151.06984,node/6595579456,NRMA,1
4,JET Charge,1,0.55,2,22.0,-33.79651,151.18337,node/6753244994,JET Charge,1
5,Tesla Supercharger #2,1,0.55,4,250.0,-33.87631,151.17784,node/6965052432,Tesla,1
6,Chargefox,1,0.55,2,22.0,-33.91381,151.23912,node/6965143040,Chargefox,1
7,Chargefox #2,1,0.55,1,22.0,-33.90537,151.21291,node/6967754081,Chargefox,1
8,Chargefox #3,1,0.55,1,22.0,-33.77084,150.84522,node/7237598406,Chargefox,1
9,Tesla Supercharger #3,1,0.55,14,22.0,-33.77815,151.12078,node/7270664150;node/9536966801,Tesla,2
10,Station 11,1,0.55,1,22.0,-33.93064,151.24647,node/7401170459,,1
11,Station 12,1,0.55,1,22.0,-33.89080,151.27627,node/7862093042,,1
12,Station 13,1,0.55,1,22.0,-33.76937,150.73525,node/8148294052,,1
13,Evie Networks,1,0.55,4,22.0,-33.76714,150.95482,node/8169947525,Evie Networks,1
14,Evie Networks #2,1,0.55,2,22.0,-33.82556,151.24143,node/8241597113,Evie Networks,1
15,Chargefox #4,1,0.55,1,22.0,-33.90699,151.21301,node/8911115310,Chargefox,1
16,Jolt,1,0.55,1,22.0,-33.67615,151.30311,node/9204398603,Jolt,1
17,Evie Networks #3,1,0.55,4,22.0,-33.89889,150.91994,node/9215252226,Evie Networks,1
18,Bell Resources,1,0.55,1,22.0,-33.86482,151.21191,node/9228911986,Bell Resources,1
19,Jolt #2,1,0.55,1,22.0,-33.86609,151.06444,node/9290610873,Jolt,1
20,Jolt #3,1,0.55,2,22.0,-33.94357,151.23970,node/9290676154,Jolt,1
21,Jolt #4,1,0.55,1,22.0,-33.90714,151.22411,node/9290676155,Jolt,1
22,Station 23,1,0.55,4,22.0,-33.90810,151.17167,node/9290790988,,1
23,Evie Networks #4,1,0.55,1,22.0,-33.70546,150.87543,node/9309912420,Evie Networks,1
24,Evie Networks #5,1,0.55,1,22.0,-33.81350,151.16927,node/9347175037,Evie Networks,1
25,Station 26,1,0.55,1,22.0,-33.95322,150.80405,node/9354339800,,1
26,Evie Networks #6,1,0.55,4,50.0,-33.93206,151.03013,node/9363608762,Evie Networks,1
27,Chargefox #5,1,0.55,2,22.0,-33.87170,151.26810,node/9378951502,Chargefox,1
28,Jolt #5,1,0.55,1,22.0,-33.88725,151.09932,node/9404724469,Jolt,1
29,Station 30,1,0.55,4,22.0,-33.78482,150.85304,node/9408923628,,1
30,Station 31,1,0.55,2,22.0,-33.95227,150.85573,node/9408929771,,1
31,Tesla Supercharger #4,1,0.55,6,22.0,-34.03382,151.07344,node/9467315676,Tesla,1
32,Jolt #6,1,0.55,1,22.0,-33.76209,151.21417,node/9481080902,Jolt,1
33,Jolt #7,1,0.55,2,22.0,-33.75373,151.28699,node/9491233549;node/13688536001,Jolt,2
34,Western Sydney University,1,0.55,2,22.0,-33.76987,150.72920,node/9514983917,Western Sydney University,1
35,Tesla Destination Charger #2,1,0.55,2,22.0,-33.68924,151.22418,node/9521361334,Hills Marketplace,1
36,Jolt #8,1,0.55,1,22.0,-33.77899,151.28387,node/9546004749,Jolt,1
37,Jolt #9,1,0.55,1,22.0,-33.96218,151.06357,node/9603490031,Jolt,1
38,Jolt #10,1,0.55,1,22.0,-33.89476,151.10968,node/9672846122,Jolt,1
39,Jolt #11,1,0.55,1,22.0,-33.67610,151.30378,node/9704706490,Jolt,1
40,Evie Networks #8,1,0.55,4,22.0,-33.77026,150.67378,node/9712774534,Evie Networks,1
41,Evie Networks #9,1,0.55,2,22.0,-33.90799,151.17107,node/9737993455,Evie Networks,1
42,Jolt #12,1,0.55,1,22.0,-33.87388,151.10194,node/9738285222,Jolt,1
43,Jolt #13,1,0.55,1,22.0,-33.87206,151.09543,node/9863000835,Jolt,1
44,Evie Networks #10,1,0.55,2,22.0,-33.94883,150.90026,node/9863034303,Evie Networks,1
45,Tesla Destination Charger #3,1,0.55,4,22.0,-33.76664,151.26441,node/9864969279,Warringah Mall,1
46,AmpCharge,1,0.55,2,22.0,-33.90213,151.19992,node/9898771270,AmpCharge,1
47,Evie Networks #11,1,0.55,2,22.0,-33.80933,151.20886,node/9916436896,Evie Networks,1
48,Jolt #14,1,0.55,1,22.0,-33.94924,151.08122,node/9953777925,Jolt,1
49,Chargefox #6,1,0.55,2,22.0,-33.83009,151.08603,node/9958152708,Chargefox,1
50,AmpCharge #2,1,0.55,2,22.0,-33.78776,150.99461,node/9965036281,AmpCharge,1
51,Jolt #15,1,0.55,1,22.0,-33.97019,151.08014,node/9996192046,Jolt,1
52,Station 54,1,0.55,3,22.0,-33.82563,151.07905,node/10007469304,,1
53,Tesla Destination Charger #4,1,0.55,3,22.0,-33.72968,151.00651,node/10007505419,,1
