# Top-up missions (origin == destination, required_kwh > 0). Seeded, reproducible.
id,origin_id,destination_id,battery_kwh,soc_kwh,efficiency_kwh_per_100km,required_kwh,release_hour
1000,20,20,45.0,21.9,18.0,44.3,11.07
1001,20,20,60.0,44.9,18.0,18.2,13.04
1002,18,18,90.0,48.4,18.0,57.0,9.05
1003,3,3,45.0,26.5,18.0,13.4,6.75
1004,2,2,45.0,17.1,18.0,47.3,9.31
1005,5,5,45.0,16.5,18.0,36.4,15.07
1006,14,14,90.0,38.9,18.0,28.6,4.96
1007,5,5,90.0,44.1,18.0,50.0,14.02
1008,4,4,75.0,40.2,18.0,44.1,15.46
1009,12,12,75.0,43.6,18.0,42.7,15.47
1010,6,6,60.0,43.7,18.0,45.2,8.57
1011,22,22,90.0,33.8,18.0,50.4,5.80
1012,21,21,75.0,44.1,18.0,28.0,10.57
1013,15,15,90.0,46.1,18.0,31.1,4.89
1014,4,4,60.0,29.4,18.0,33.3,12.56
1015,18,18,45.0,26.9,18.0,44.8,14.33
1016,16,16,90.0,37.0,18.0,12.2,3.79
1017,4,4,90.0,48.9,18.0,42.4,10.49
1018,16,16,60.0,29.0,18.0,55.5,10.20
1019,3,3,75.0,44.2,18.0,28.1,13.91
1020,22,22,45.0,23.4,18.0,18.2,14.73
1021,3,3,45.0,29.7,18.0,41.2,12.77
1022,8,8,90.0,50.6,18.0,56.4,5.86
1023,9,9,75.0,33.6,18.0,57.7,9.42
1024,20,20,60.0,31.6,18.0,26.9,10.18
1025,18,18,45.0,19.1,18.0,43.8,6.91
1026,8,8,60.0,28.1,18.0,51.8,4.46
1027,5,5,60.0,32.4,18.0,21.2,15.69
1028,0,0,90.0,49.9,18.0,23.3,7.38
1029,17,17,90.0,35.4,18.0,58.6,6.92
1030,22,22,90.0,53.1,18.0,24.0,13.24
1031,15,15,45.0,23.8,18.0,13.1,11.05
1032,12,12,60.0,25.2,18.0,42.9,0.92
1033,21,21,90.0,44.0,18.0,50.2,12.95
1034,16,16,75.0,54.7,18.0,30.7,15.60
1035,21,21,90.0,58.3,18.0,45.5,8.55
1036,15,15,45.0,16.4,18.0,14.8,5.70
1037,11,11,60.0,35.3,18.0,21.3,7.70
1038,13,13,45.0,27.6,18.0,57.1,5.12
1039,20,20,60.0,25.6,18.0,37.7,9.54
1040,14,14,60.0,22.2,18.0,17.6,2.84
1041,22,22,90.0,43.9,18.0,54.4,4.96
1042,0,0,75.0,46.0,18.0,49.3,10.18
1043,13,13,75.0,42.7,18.0,39.1,0.62
1044,5,5,90.0,54.7,18.0,26.7,8.18
1045,12,12,75.0,28.4,18.0,42.4,0.52
1046,10,10,90.0,51.1,18.0,22.9,5.11
1047,3,3,60.0,30.5,18.0,12.2,15.11
1048,11,11,60.0,41.6,18.0,47.3,15.64
1049,5,5,90.0,48.4,18.0,40.0,8.42
1050,18,18,45.0,30.3,18.0,16.1,7.27
1051,3,3,45.0,29.9,18.0,37.9,5.12
1052,19,19,90.0,34.1,18.0,53.6,5.81
1053,2,2,75.0,47.0,18.0,16.3,4.96
1054,0,0,75.0,47.8,18.0,25.9,8.06
1055,13,13,75.0,52.8,18.0,12.0,6.24
1056,10,10,60.0,37.7,18.0,16.1,7.64
1057,4,4,45.0,28.6,18.0,26.9,8.73
1058,10,10,45.0,30.8,18.0,39.7,13.95
1059,22,22,45.0,28.6,18.0,15.3,7.04
1060,4,4,60.0,30.9,18.0,52.6,5.65
1061,17,17,90.0,49.4,18.0,14.2,9.15
1062,9,9,90.0,46.5,18.0,49.0,9.38
1063,8,8,90.0,57.5,18.0,30.4,15.14
1064,15,15,75.0,51.7,18.0,52.4,6.72
1065,21,21,45.0,27.1,18.0,14.7,8.46
1066,23,23,45.0,33.5,18.0,39.3,8.89
1067,23,23,75.0,39.9,18.0,37.4,2.13
1068,21,21,75.0,44.3,18.0,30.0,1.59
1069,9,9,90.0,64.0,18.0,57.5,11.16
1070,18,18,45.0,23.6,18.0,14.7,7.03
1071,21,21,60.0,31.5,18.0,25.0,8.56
1072,5,5,60.0,40.1,18.0,54.0,7.08
1073,5,5,90.0,62.0,18.0,37.6,5.45
1074,17,17,90.0,33.6,18.0,31.9,9.66
1075,8,8,45.0,22.1,18.0,35.3,13.34
1076,14,14,90.0,39.6,18.0,16.4,2.40
1077,1,1,60.0,39.2,18.0,55.0,7.75
1078,16,16,45.0,33.3,18.0,25.6,4.41
1079,4,4,60.0,34.4,18.0,13.2,7.85
1080,15,15,45.0,25.5,18.0,41.5,8.32
1081,4,4,45.0,17.7,18.0,28.4,13.84
1082,13,13,60.0,32.4,18.0,18.0,8.29
1083,4,4,90.0,34.1,18.0,34.4,6.43
1084,20,20,60.0,26.9,18.0,21.7,9.51
1085,2,2,75.0,47.5,18.0,15.4,7.66
1086,10,10,60.0,37.8,18.0,52.2,8.22
1087,2,2,60.0,30.8,18.0,24.2,1.99
1088,7,7,90.0,42.7,18.0,27.0,7.95
1089,4,4,90.0,39.4,18.0,29.4,9.11
1090,10,10,75.0,53.3,18.0,51.6,13.28
1091,9,9,45.0,30.8,18.0,59.2,7.96
1092,18,18,60.0,34.0,18.0,55.3,9.75
1093,17,17,90.0,52.8,18.0,46.3,8.79
1094,12,12,75.0,47.6,18.0,34.8,8.01
1095,13,13,75.0,38.3,18.0,12.5,13.17
1096,7,7,90.0,45.2,18.0,58.3,0.43
1097,21,21,60.0,36.1,18.0,38.0,6.92
1098,13,13,60.0,29.6,18.0,30.4,10.37
1099,16,16,75.0,50.8,18.0,39.1,7.01
