# Undirected road distances in km. See PROVENANCE.md for corrections.
from_id,to_id,distance_km
0,1,8.5
1,2,31.8
1,5,18.4
1,19,33.9
2,3,11.2
3,4,8.2
3,5,8.8
4,5,16.3
4,6,10.1
4,14,13.3
5,6,12.8
5,18,30.8
6,7,9.2
6,13,14.3
6,18,19.9
6,21,11.4
7,8,8.1
7,13,13.8
7,17,11.2
7,22,5.8
8,9,13.4
8,15,12.3
8,17,10.7
8,22,4.6
9,10,9.4
9,15,12.4
9,16,13.1
9,17,20.8
10,15,5.9
11,12,18.0
12,13,10.6
12,15,12.5
13,14,12.6
13,21,5.2
16,17,11.0
17,18,14.5
17,22,10.5
17,23,8.2
18,19,14.0
18,23,9.3
19,20,14.8
