# Sydney metro nodes. Generated by tools/build_datasets.py -- do not edit by hand.
id,name,has_station,price_per_kwh,chargers,power_kw
0,Penrith,1,0.35,6,150.0
1,St Marys,0,0.00,0,0.0
2,Box Hill,1,0.00,2,50.0
3,Kellyville,0,0.00,0,0.0
4,Castle Hill,0,0.00,0,0.0
5,Blacktown,1,0.25,6,150.0
6,Parramatta,1,0.25,8,150.0
7,Olympic Park,1,0.40,6,150.0
8,Burwood,1,0.46,4,50.0
9,Randwick,1,0.50,4,50.0
10,Bondi Junction,1,0.25,4,50.0
11,Manly,1,0.00,2,50.0
12,Chatswood,1,0.55,6,150.0
13,Macquarie Pk,1,0.33,4,50.0
14,Hornsby,0,0.00,0,0.0
15,Central,0,0.00,0,0.0
16,Hurstville,1,0.30,4,50.0
17,Bankstown,1,0.52,4,50.0
18,Liverpool,0,0.00,0,0.0
19,Leppington,0,0.00,0,0.0
20,Campbelltown,1,0.65,4,50.0
21,Ryde,1,0.28,3,50.0
22,Strathfield,1,0.30,4,50.0
23,Fairfield,0,0.00,0,0.0
