# Output of tools/truck_sweep.py on data/hume-trucks. Bays are an estimated input,
# the fleet a scenario; read these as sensitivities, not forecasts.
bay_scale,bays,fleet,planner,completed,stranded,turned_away,stranded_share,peak_utilisation,mean_elapsed_h
0.25,70,150,farthest,87,63,63,0.4200,0.5096,17.1766
0.25,70,150,cheapest,139,11,266,0.0733,0.6777,17.5735
0.25,70,150,min-wait,139,11,266,0.0733,0.6777,17.5735
0.25,70,150,generalised,139,11,266,0.0733,0.6777,17.5735
0.25,70,150,optimal,144,6,159,0.0400,0.6777,17.6620
0.25,70,300,farthest,140,160,160,0.5333,0.5889,16.6654
0.25,70,300,cheapest,219,81,715,0.2700,0.6730,17.2325
0.25,70,300,min-wait,219,81,715,0.2700,0.6730,17.2325
0.25,70,300,generalised,219,81,715,0.2700,0.6730,17.2325
0.25,70,300,optimal,246,54,515,0.1800,0.6442,17.7737
0.25,70,600,farthest,204,396,396,0.6600,0.6730,16.0449
0.25,70,600,cheapest,311,289,1676,0.4817,0.6728,16.7992
0.25,70,600,min-wait,311,289,1676,0.4817,0.6728,16.7992
0.25,70,600,generalised,311,289,1676,0.4817,0.6728,16.7992
0.25,70,600,optimal,306,294,1180,0.4900,0.6353,17.1426
0.25,70,1200,farthest,291,909,908,0.7575,0.6729,15.2365
0.25,70,1200,cheapest,390,810,3530,0.6750,0.6767,15.9983
0.25,70,1200,min-wait,390,810,3530,0.6750,0.6767,15.9983
0.25,70,1200,generalised,390,810,3530,0.6750,0.6767,15.9983
0.25,70,1200,optimal,383,817,2020,0.6808,0.6444,16.2910
0.5,151,150,farthest,126,24,24,0.1600,0.5083,17.5050
0.5,151,150,cheapest,149,1,118,0.0067,0.5930,17.6180
0.5,151,150,min-wait,149,1,118,0.0067,0.5930,17.6180
0.5,151,150,generalised,149,1,118,0.0067,0.5930,17.6180
0.5,151,150,optimal,148,2,86,0.0133,0.5930,17.6278
0.5,151,300,farthest,212,88,88,0.2933,0.5384,17.1993
0.5,151,300,cheapest,284,16,530,0.0533,0.6728,17.4625
0.5,151,300,min-wait,284,16,530,0.0533,0.6728,17.4625
0.5,151,300,generalised,284,16,530,0.0533,0.6728,17.4625
0.5,151,300,optimal,296,4,329,0.0133,0.6447,17.5648
0.5,151,600,farthest,329,271,271,0.4517,0.6730,16.8779
0.5,151,600,cheapest,459,141,1398,0.2350,0.6730,17.2630
0.5,151,600,min-wait,459,141,1398,0.2350,0.6730,17.2630
0.5,151,600,generalised,459,141,1398,0.2350,0.6730,17.2630
0.5,151,600,optimal,521,79,1068,0.1317,0.6246,17.6813
0.5,151,1200,farthest,459,741,740,0.6175,0.6729,16.3349
0.5,151,1200,cheapest,656,544,3469,0.4533,0.6724,16.9062
0.5,151,1200,min-wait,656,544,3469,0.4533,0.6724,16.9062
0.5,151,1200,generalised,656,544,3469,0.4533,0.6724,16.9062
0.5,151,1200,optimal,643,557,2212,0.4642,0.6574,17.1967
0.75,254,150,farthest,144,6,6,0.0400,0.4871,17.5965
0.75,254,150,cheapest,150,0,69,0.0000,0.5647,17.6222
0.75,254,150,min-wait,150,0,69,0.0000,0.5647,17.6222
0.75,254,150,generalised,150,0,69,0.0000,0.5647,17.6222
0.75,254,150,optimal,149,1,50,0.0067,0.5506,17.6180
0.75,254,300,farthest,257,43,43,0.1433,0.5258,17.3811
0.75,254,300,cheapest,300,0,316,0.0000,0.6504,17.5038
0.75,254,300,min-wait,300,0,316,0.0000,0.6504,17.5038
0.75,254,300,generalised,300,0,316,0.0000,0.6504,17.5038
0.75,254,300,optimal,299,1,189,0.0033,0.6097,17.5062
0.75,254,600,farthest,429,171,171,0.2850,0.6103,17.1948
0.75,254,600,cheapest,551,49,1140,0.0817,0.6728,17.4257
0.75,254,600,min-wait,551,49,1140,0.0817,0.6728,17.4257
0.75,254,600,generalised,551,49,1140,0.0817,0.6728,17.4257
0.75,254,600,optimal,591,9,664,0.0150,0.6426,17.5354
0.75,254,1200,farthest,629,571,570,0.4758,0.6726,16.8491
0.75,254,1200,cheapest,868,332,3106,0.2767,0.6724,17.2314
0.75,254,1200,min-wait,868,332,3106,0.2767,0.6724,17.2314
0.75,254,1200,generalised,868,332,3106,0.2767,0.6724,17.2314
0.75,254,1200,optimal,957,243,2485,0.2025,0.6447,17.6351
1.0,321,150,farthest,147,3,3,0.0200,0.4236,17.6096
1.0,321,150,cheapest,150,0,44,0.0000,0.5506,17.6222
1.0,321,150,min-wait,150,0,44,0.0000,0.5506,17.6222
1.0,321,150,generalised,150,0,44,0.0000,0.5506,17.6222
1.0,321,150,optimal,150,0,30,0.0000,0.5422,17.6222
1.0,321,300,farthest,269,31,31,0.1033,0.5216,17.4193
1.0,321,300,cheapest,300,0,219,0.0000,0.6139,17.5038
1.0,321,300,min-wait,300,0,219,0.0000,0.6139,17.5038
1.0,321,300,generalised,300,0,219,0.0000,0.6139,17.5038
1.0,321,300,optimal,299,1,134,0.0033,0.5719,17.5014
1.0,321,600,farthest,470,130,130,0.2167,0.5892,17.2858
1.0,321,600,cheapest,579,21,914,0.0350,0.6728,17.4650
1.0,321,600,min-wait,579,21,914,0.0350,0.6728,17.4650
1.0,321,600,generalised,579,21,914,0.0350,0.6728,17.4650
1.0,321,600,optimal,590,10,618,0.0167,0.6443,17.5060
1.0,321,1200,farthest,706,494,493,0.4117,0.6726,17.0005
1.0,321,1200,cheapest,953,247,2843,0.2058,0.6726,17.3211
1.0,321,1200,min-wait,953,247,2843,0.2058,0.6726,17.3211
1.0,321,1200,generalised,953,247,2843,0.2058,0.6726,17.3211
1.0,321,1200,optimal,1067,133,2217,0.1108,0.6566,17.7202
1.5,491,150,farthest,150,0,0,0.0000,0.3163,17.6222
1.5,491,150,cheapest,150,0,40,0.0000,0.5365,17.6222
1.5,491,150,min-wait,150,0,40,0.0000,0.5365,17.6222
1.5,491,150,generalised,150,0,40,0.0000,0.5365,17.6222
1.5,491,150,optimal,150,0,5,0.0000,0.4659,17.6222
1.5,491,300,farthest,288,12,12,0.0400,0.5160,17.4733
1.5,491,300,cheapest,300,0,110,0.0000,0.5775,17.5038
1.5,491,300,min-wait,300,0,110,0.0000,0.5775,17.5038
1.5,491,300,generalised,300,0,110,0.0000,0.5775,17.5038
1.5,491,300,optimal,300,0,90,0.0000,0.5495,17.5038
1.5,491,600,farthest,535,65,65,0.1083,0.5612,17.4014
1.5,491,600,cheapest,598,2,614,0.0033,0.6728,17.4895
1.5,491,600,min-wait,598,2,614,0.0033,0.6728,17.4895
1.5,491,600,generalised,598,2,614,0.0033,0.6728,17.4895
1.5,491,600,optimal,600,0,379,0.0000,0.6728,17.4998
1.5,491,1200,farthest,873,327,326,0.2725,0.6726,17.2372
1.5,491,1200,cheapest,1102,98,2257,0.0817,0.6724,17.4450
1.5,491,1200,min-wait,1102,98,2257,0.0817,0.6724,17.4450
1.5,491,1200,generalised,1102,98,2257,0.0817,0.6724,17.4450
1.5,491,1200,optimal,1194,6,1375,0.0050,0.6718,17.5445
2.0,642,150,farthest,150,0,0,0.0000,0.2372,17.6222
2.0,642,150,cheapest,150,0,17,0.0000,0.5083,17.6222
2.0,642,150,min-wait,150,0,17,0.0000,0.5083,17.6222
2.0,642,150,generalised,150,0,17,0.0000,0.5083,17.6222
2.0,642,150,optimal,150,0,1,0.0000,0.4236,17.6222
2.0,642,300,farthest,298,2,2,0.0067,0.4710,17.4989
2.0,642,300,cheapest,300,0,63,0.0000,0.5593,17.5038
2.0,642,300,min-wait,300,0,63,0.0000,0.5593,17.5038
2.0,642,300,generalised,300,0,63,0.0000,0.5593,17.5038
2.0,642,300,optimal,300,0,58,0.0000,0.5382,17.5038
2.0,642,600,farthest,562,38,38,0.0633,0.5468,17.4416
2.0,642,600,cheapest,600,0,410,0.0000,0.6728,17.4920
2.0,642,600,min-wait,600,0,410,0.0000,0.6728,17.4920
2.0,642,600,generalised,600,0,410,0.0000,0.6728,17.4920
2.0,642,600,optimal,599,1,289,0.0017,0.6392,17.4918
2.0,642,1200,farthest,963,237,236,0.1975,0.6389,17.3306
2.0,642,1200,cheapest,1154,46,1793,0.0383,0.6724,17.4807
2.0,642,1200,min-wait,1154,46,1793,0.0383,0.6724,17.4807
2.0,642,1200,generalised,1154,46,1793,0.0383,0.6724,17.4807
2.0,642,1200,optimal,1191,9,1156,0.0075,0.6625,17.5190
